sim_time,wip,db_size,q_camera,q_retrieval,q_robot,q_operator
38.6,2,5,0,0,0,0
104.4,3,5,0,0,0,0
149.8,3,5,0,0,0,1
188.3,3,5,0,0,0,0
222.8,4,5,1,0,0,0
258.1,4,5,0,0,0,1
289.5,2,6,0,0,0,0
370.7,2,6,0,0,0,0
420.8,3,6,0,0,0,0
466.1,3,6,0,0,0,1
554.9,4,6,0,0,0,1
633.0,4,6,0,0,0,1
673.0,4,6,0,0,0,2
855.1,3,7,0,0,0,0
891.8,2,7,0,0,0,0
972.0,2,8,0,0,0,0
1021.7,2,8,0,0,0,0
1256.7,2,8,0,0,0,0
1291.1,4,8,0,0,0,0
1342.4,4,8,0,0,0,0
1423.4,4,8,0,0,0,1
1455.0,5,8,0,0,1,1
1492.9,5,8,0,0,0,3
1524.6,4,8,0,0,0,2
1619.5,5,8,0,0,0,2
1661.2,5,8,0,0,0,3
1807.6,6,9,0,0,0,3
1843.3,6,9,0,0,0,3
1874.5,6,9,0,0,0,4
1907.6,7,9,0,0,0,4
1940.4,6,9,0,0,0,3
1978.4,6,9,0,0,0,3
2040.5,6,9,0,0,0,3
2090.1,5,9,0,0,0,2
2128.8,7,9,0,0,1,2
2163.2,6,9,0,0,1,2
2208.5,6,9,0,0,0,4
2258.1,6,9,0,0,0,3
2271.6,5,9,0,0,0,3
